latitud,longitud,code,id,state_id,name
17.225029,-93.164405,7060,42000000-0000-0000-0000-000000000144,40000000-0000-0000-0000-000000000007,Ocotepec
16.761462,-93.375653,7061,42000000-0000-0000-0000-000000000145,40000000-0000-0000-0000-000000000007,Ocozocoautla de Espinosa
17.405591,-93.337136,7062,42000000-0000-0000-0000-000000000146,40000000-0000-0000-0000-000000000007,Ostuacan
16.935467,-93.091337,7063,42000000-0000-0000-0000-000000000147,40000000-0000-0000-0000-000000000007,Osumacinta
16.786119,-92.334917,7064,42000000-0000-0000-0000-000000000148,40000000-0000-0000-0000-000000000007,Oxchuc
17.509133,-91.981033,7065,42000000-0000-0000-0000-000000000149,40000000-0000-0000-0000-000000000007,Palenque
17.006659,-92.46958,7066,42000000-0000-0000-0000-000000000150,40000000-0000-0000-0000-000000000007,Pantelho
17.188092,-93.049546,7067,42000000-0000-0000-0000-000000000151,40000000-0000-0000-0000-000000000007,Pantepec
17.508551,-93.117767,7068,42000000-0000-0000-0000-000000000152,40000000-0000-0000-0000-000000000007,Pichucalco
15.691674,-93.209317,7069,42000000-0000-0000-0000-000000000153,40000000-0000-0000-0000-000000000007,Pijijiapan
15.456367,-92.27964,7070,42000000-0000-0000-0000-000000000154,40000000-0000-0000-0000-000000000007,El Porvenir
15.211937,-92.576024,7071,42000000-0000-0000-0000-000000000155,40000000-0000-0000-0000-000000000007,Villa Comaltitlan
17.157568,-92.897322,7072,42000000-0000-0000-0000-000000000156,40000000-0000-0000-0000-000000000007,Pueblo Nuevo Solistahuacan
17.200503,-93.011217,7073,42000000-0000-0000-0000-000000000157,40000000-0000-0000-0000-000000000007,Rayon
17.865812,-93.147108,7074,42000000-0000-0000-0000-000000000158,40000000-0000-0000-0000-000000000007,Reforma
16.364132,-92.369581,7075,42000000-0000-0000-0000-000000000159,40000000-0000-0000-0000-000000000007,Las Rosas
17.283484,-92.55172,7076,42000000-0000-0000-0000-000000000160,40000000-0000-0000-0000-000000000007,Sabanilla
17.557021,-92.333422,7077,42000000-0000-0000-0000-000000000161,40000000-0000-0000-0000-000000000007,Salto de Agua
16.737022,-92.637564,7078,42000000-0000-0000-0000-000000000162,40000000-0000-0000-0000-000000000007,San Cristobal de las Casas
16.871712,-93.206285,7079,42000000-0000-0000-0000-000000000163,40000000-0000-0000-0000-000000000007,San Fernando
15.557185,-92.32286,7080,42000000-0000-0000-0000-000000000164,40000000-0000-0000-0000-000000000007,Siltepec
17.140826,-92.715208,7081,42000000-0000-0000-0000-000000000165,40000000-0000-0000-0000-000000000007,Simojovel
17.025051,-92.307743,7082,42000000-0000-0000-0000-000000000166,40000000-0000-0000-0000-000000000007,Sitala
16.242949,-92.350316,7083,42000000-0000-0000-0000-000000000167,40000000-0000-0000-0000-000000000007,Socoltenango
17.428656,-93.031179,7084,42000000-0000-0000-0000-000000000168,40000000-0000-0000-0000-000000000007,Solosuchiapa
16.890992,-92.92529,7085,42000000-0000-0000-0000-000000000169,40000000-0000-0000-0000-000000000007,Soyalo
16.621958,-93.104794,7086,42000000-0000-0000-0000-000000000170,40000000-0000-0000-0000-000000000007,Suchiapa
14.679452,-92.150942,7087,42000000-0000-0000-0000-000000000171,40000000-0000-0000-0000-000000000007,Suchiate
17.489378,-93.243169,7088,42000000-0000-0000-0000-000000000172,40000000-0000-0000-0000-000000000007,Sunuapa
14.911071,-92.26432,7089,42000000-0000-0000-0000-000000000173,40000000-0000-0000-0000-000000000007,Tapachula
17.190048,-93.104605,7090,42000000-0000-0000-0000-000000000174,40000000-0000-0000-0000-000000000007,Tapalapa
17.248403,-93.016258,7091,42000000-0000-0000-0000-000000000175,40000000-0000-0000-0000-000000000007,Tapilula
17.136478,-93.311165,7092,42000000-0000-0000-0000-000000000176,40000000-0000-0000-0000-000000000007,Tecpatan
16.819017,-92.506492,7093,42000000-0000-0000-0000-000000000177,40000000-0000-0000-0000-000000000007,Tenejapa
16.541514,-92.472597,7094,42000000-0000-0000-0000-000000000178,40000000-0000-0000-0000-000000000007,Teopisca
17.300635,-92.425865,7096,42000000-0000-0000-0000-000000000179,40000000-0000-0000-0000-000000000007,Tila
16.091356,-93.751783,7097,42000000-0000-0000-0000-000000000180,40000000-0000-0000-0000-000000000007,Tonala
16.544732,-92.680376,7098,42000000-0000-0000-0000-000000000181,40000000-0000-0000-0000-000000000007,Totolapa
